gid,entidad,geom,fna,gna,nam,fdc,sag
36514,1,POINT(-64.863533 -27.4981749999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Termas de Río Hondo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Termas de Río Hondo,Ministerio del Interior,IGN
36516,1,POINT(-68.30887 -54.8074319999999),Universidad Empresarial Siglo 21 Escuela Modelo de Eduación Integral Ushuaia,Universidad,Empresarial Siglo 21 Escuela Modelo de Eduación Integral Ushuaia,Ministerio del Interior,IGN
36517,1,POINT(-65.596659 -27.345829),Universidad Empresarial Siglo 21 Instituto Santa Barbara,Universidad,Empresarial Siglo 21 Instituto Santa Barbara,Ministerio del Interior,IGN
36518,1,POINT(-65.6194 -27.5868),Universidad Empresarial Siglo 21 Fundación de Altos Estudios Santa Bárbara (3),Universidad,Empresarial Siglo 21 Fundación de Altos Estudios Santa Bárbara (3),Ministerio del Interior,IGN
36519,1,POINT(-65.2081039999999 -26.838292),Universidad Empresarial Siglo 21 Fundación Magister Tucumán,Universidad,Empresarial Siglo 21 Fundación Magister Tucumán,Ministerio del Interior,IGN
36520,1,POINT(-65.255578 -26.7319039999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Tafí Viejo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Tafí Viejo,Ministerio del Interior,IGN
36521,1,POINT(-65.2919449999999 -26.814919),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Yerba Buena Fundación Magister,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Yerba Buena Fundación Magister,Ministerio del Interior,IGN
36522,1,POINT(-58.391803 -34.6148059999999),Universidad Favaloro Sede Académica,Universidad,Favaloro Sede Académica,Ministerio del Interior,IGN
36523,1,POINT(-58.390553 -34.6142629999999),Universidad Favaloro Sede Académica,Universidad,Favaloro Sede Académica,Ministerio del Interior,IGN
36524,1,POINT(-58.41149 -34.607728),Universidad Favaloro Sede Académica,Universidad,Favaloro Sede Académica,Ministerio del Interior,IGN
36525,1,POINT(-55.895321 -27.37154),Universidad Gaston Dachary Sede Posadas Centro,Universidad,Gaston Dachary Sede Posadas Centro,Ministerio del Interior,IGN
36526,1,POINT(-55.939657 -27.369762),Universidad Gaston Dachary Sede Campus Urbano Posadas,Universidad,Gaston Dachary Sede Campus Urbano Posadas,Ministerio del Interior,IGN
36527,1,POINT(-55.1166709999999 -27.487129),Universidad Gaston Dachary Sede Obera,Universidad,Gaston Dachary Sede Obera,Ministerio del Interior,IGN
