gid,entidad,geom,fna,gna,nam,fdc,sag
250,1,POINT(-68.0848031479999 -38.9574246399999),Instituto de Formación Docente Nº 12 General José de San Martín,Instituto de Formación Docente,Nº 12 General José de San Martín,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
251,1,POINT(-68.048773836 -38.953872529),Instituto Panamericano de Estudios Superiores,Instituto,Panamericano de Estudios Superiores,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
270,1,POINT(-68.0541612869999 -38.958096445),Instituto Superior en Seguridad,Instituto Superior,en Seguridad,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
282,1,POINT(-68.048544933 -38.965180554),Centro de Educación Física Nº 4,Centro de Educación Física,Nº 4,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
323,1,POINT(-68.0580119479999 -38.939936007),Universidad Nacional del Comahue - Rectorado,Universidad Nacional,del Comahue - Rectorado,IGN04/UNCo,IGN
324,1,POINT(-68.058636318 -38.9403571719999),Universidad Nacional del Comahue - Facultad de Humanidades,Universidad Nacional,del Comahue - Facultad de Humanidades,IGN04/UNCo,IGN
325,1,POINT(-68.0580890419999 -38.940891123),Universidad Nacional del Comahue - Facultad de Ciencias del Ambiente y de la Salud,Universidad Nacional,del Comahue - Facultad de Ciencias del Ambiente y de la Salud,IGN04/UNCo,IGN
326,1,POINT(-68.0565376329999 -38.9410519749999),Universidad Nacional del Comahue - Facultad de Ingeniería,Universidad Nacional,del Comahue - Facultad de Ingeniería,IGN04/UNCo,IGN
327,1,POINT(-68.056078397 -38.9409520369999),Universidad Nacional del Comahue - Facultad de Economía y Administración,Universidad Nacional,del Comahue - Facultad de Economía y Administración,IGN04/UNCo,IGN
328,1,POINT(-68.053401504 -38.940844962),Universidad Nacional del Comahue - Facultad de Turismo,Universidad Nacional,del Comahue - Facultad de Turismo,IGN04/UNCo,IGN
329,1,POINT(-68.0546388239999 -38.940095431),Universidad Nacional del Comahue - Facultad de Informática,Universidad Nacional,del Comahue - Facultad de Informática,IGN04/UNCo,IGN
1586,1,POINT(-68.0574407729999 -38.95447924),Potenciar Educación Superior,,Potenciar Educación Superior,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1587,1,POINT(-68.1214423329999 -38.963117363),Centro de Educación Fisica Nº 13,Centro de Educación Fisica,Nº 13,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1593,1,POINT(-68.067998072 -38.9532329959999),Instituto Si Jolie de Educación Superior y Fomación Profesional,Instituto,Si Jolie de Educación Superior y Fomación Profesional,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1606,1,POINT(-68.056403879 -38.952436077),Centro de Estudios Terciarios del Comahue,Centro de Estudios Terciarios,del Comahue,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1607,1,POINT(-68.042267432 -38.948306983),Instituto de Formación Docente Nº 6,Instituto de Formación Docente,Nº 6,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1608,1,POINT(-68.044627356 -38.9477699569999),Instituto de Formación Docente Nº 6,Instituto de Formación Docente,Nº 6,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1619,1,POINT(-68.0659543469999 -38.954102657),Instituto Superior de Informática del Valle,Instituto Superior,de Informática del Valle,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1627,1,POINT(-68.069229056 -38.9512467019999),Instituto Neuquino del Profesorado en Inglés,Instituto,Neuquino del Profesorado en Inglés,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1656,1,POINT(-68.060029879 -38.952741894),Escuela Superior de Música del Neuquén,Escuela Superior,de Música del Neuquén,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
1663,1,POINT(-68.069229369 -38.9513051659999),Centro de Estudios para el Desarrollo Económico de la Patagonia (CEDEP),Centro de Estudios,para el Desarrollo Económico de la Patagonia (CEDEP),Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2088,1,POINT(-68.086500445 -38.965072719),Escuela Superior de Bellas Artes Manuel Belgrano,Escuela Superior de Bellas Artes,Manuel Belgrano,IGN01/IGN04/Sitio Web de la Institución,IGN
2150,1,POINT(-68.068290835 -38.951899023),Vínculo Primera Escuela de Psicología Social del Neuquén,,Vínculo Primera Escuela de Psicología Social del Neuquén,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2159,1,POINT(-68.0722140779999 -38.951458085),Centro de Educación Física Nº 1,Centro de Educación Física,Nº 1,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2166,1,POINT(-68.0508415579999 -38.946160424),Instituto de Formación Docente Nº 4,Instituto de Formación Docente,Nº 4,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
2180,1,POINT(-68.041639038 -38.952530903),Escuela Superior de Cocineros Patagónicos,Escuela Superior,de Cocineros Patagónicos,Esri-world_imagery-2010/IGN04/Ministerio de Educación Pcial.,IGN
7460,1,POINT(-65.276117122 -26.8157656399999),"Universidad Nacional de Tucumán Escuela Universitaria de Cine, Video y Televisión",Universidad Nacional,"de Tucumán Escuela Universitaria de Cine, Video y Televisión",Interpretación y Nomenclatura,IGN
7462,1,POINT(-65.198926404 -26.816976279),Universidad Tecnológica Nacional Facultad Regional Tucumán,Universidad Tecnológica Nacional,Facultad Regional Tucumán,Interpretación y Nomenclatura,IGN
7464,1,POINT(-65.1860954429999 -26.8352848769999),Universidad Nacional de Tucumán Facultad de Educación Física,Universidad Nacional,de Tucumán Facultad de Educación Física,Interpretación y Nomenclatura,IGN
7465,1,POINT(-65.1853732399999 -26.834172151),Universidad Nacional de Tucumán Facultad de Filosofía y Letras,Universidad Nacional,de Tucumán Facultad de Filosofía y Letras,Interpretación y Nomenclatura,IGN
7466,1,POINT(-65.2732890249999 -26.839788826),Universidad Nacional de Tucumán Facultad de Agronomía y Zootecnia,Universidad Nacional,de Tucumán Facultad de Agronomía y Zootecnia,Interpretación y Nomenclatura,IGN
7467,1,POINT(-65.1846073089999 -26.8343559099999),Universidad Nacional de Tucumán Facultad de Odontología,Universidad Nacional,de Tucumán Facultad de Odontología,Interpretación y Nomenclatura,IGN
7468,1,POINT(-68.067071507 -38.846653998),Universidad Nacional del Comahue - Facultad de Ciencias Agrarias,Universidad Nacional,del Comahue - Facultad de Ciencias Agrarias,IGN04/UNCo,IGN
7474,1,POINT(-58.392068202 -34.5826446299999),Universidad de Buenos Aires Facultad de Derecho,Universidad,de Buenos Aires Facultad de Derecho,Ministerio del Interior,IGN
7475,1,POINT(-58.408423622 -34.6007818589999),Universidad de Buenos Aires Posgrado Sede Tucumán,Universidad,de Buenos Aires Posgrado Sede Tucumán,Ministerio del Interior,IGN
7476,1,POINT(-58.751074795 -34.3733687599999),Universidad de Buenos Aires Ciclo Básico Común Sede 14 Centro Universitario Regional Escobar,Universidad,de Buenos Aires Ciclo Básico Común Sede 14 Centro Universitario Regional Escobar,Ministerio del Interior,IGN
7477,1,POINT(-58.5253853899999 -34.4980856519999),Universidad de Buenos Aires Ciclo Básico Común 06 Centro Universitario Regional Norte San Isidro,Universidad,de Buenos Aires Ciclo Básico Común 06 Centro Universitario Regional Norte San Isidro,Ministerio del Interior,IGN
7478,1,POINT(-58.364129665 -34.676449756),Universidad de Buenos Aires Ciclo Básico Común Sede 04 Avellaneda,Universidad,de Buenos Aires Ciclo Básico Común Sede 04 Avellaneda,Ministerio del Interior,IGN
7479,1,POINT(-58.483968443 -34.593616971),Universidad de Buenos Aires Facultad de Agronomía,Universidad,de Buenos Aires Facultad de Agronomía,Ministerio del Interior,IGN
7480,1,POINT(-58.44419197 -34.54163411),"Universidad de Buenos Aires Facultad de Arquitectura, Diseño y Urbanismo",Universidad,"de Buenos Aires Facultad de Arquitectura, Diseño y Urbanismo",Ministerio del Interior,IGN
7481,1,POINT(-58.397597498 -34.599953306),Universidad de Buenos Aires Facultad de Ciencias Económicas,Universidad,de Buenos Aires Facultad de Ciencias Económicas,Ministerio del Interior,IGN
7482,1,POINT(-58.3965065359999 -34.5884974269999),Universidad de Buenos Aires Facultad de Ingeniería Sede Las Heras,Universidad,de Buenos Aires Facultad de Ingeniería Sede Las Heras,Ministerio del Interior,IGN
7483,1,POINT(-58.368234328 -34.6176728189999),Universidad de Buenos Aires Facultad de Ingeniería,Universidad,de Buenos Aires Facultad de Ingeniería,Ministerio del Interior,IGN
7484,1,POINT(-58.398301486 -34.5972795279999),Universidad de Buenos Aires Facultad de Odontología,Universidad,de Buenos Aires Facultad de Odontología,Ministerio del Interior,IGN
7485,1,POINT(-58.373007195 -34.5997862359999),Universidad de Buenos Aires Rectorado,Universidad,de Buenos Aires Rectorado,Ministerio del Interior,IGN
7486,1,POINT(-58.373863936 -34.640998528),Universidad de Buenos Aires Ciclo Básico Común Sede 01 Montes de Oca,Universidad,de Buenos Aires Ciclo Básico Común Sede 01 Montes de Oca,Ministerio del Interior,IGN
7487,1,POINT(-58.47857386 -34.5677441019999),Universidad de Buenos Aires Ciclo Básico Común Sede 05 Drago,Universidad,de Buenos Aires Ciclo Básico Común Sede 05 Drago,Ministerio del Interior,IGN
7488,1,POINT(-58.44259873 -34.5423214039999),Universidad de Buenos Aires Facultad de Ciencias Exactas y Naturales,Universidad,de Buenos Aires Facultad de Ciencias Exactas y Naturales,Ministerio del Interior,IGN
7489,1,POINT(-58.399479438 -34.5970989269999),Universidad de Buenos Aires Facultad de Ciencias Sociales,Universidad,de Buenos Aires Facultad de Ciencias Sociales,Ministerio del Interior,IGN
7490,1,POINT(-58.446510405 -34.628265668),Universidad de Buenos Aires Facultad de Filosofía y Letras,Universidad,de Buenos Aires Facultad de Filosofía y Letras,Ministerio del Interior,IGN
7491,1,POINT(-58.412323933 -34.612336188),Universidad de Buenos Aires Facultad de Psicología,Universidad,de Buenos Aires Facultad de Psicología,Ministerio del Interior,IGN
7492,1,POINT(-58.398501368 -34.5980280859999),Universidad de Buenos Aires Facultad de Medicina,Universidad,de Buenos Aires Facultad de Medicina,Ministerio del Interior,IGN
7493,1,POINT(-58.478323506 -34.594756853),Universidad de Buenos Aires Facultad de Ciencias Veterinarias,Universidad,de Buenos Aires Facultad de Ciencias Veterinarias,Ministerio del Interior,IGN
7494,1,POINT(-58.397778183 -34.597672868),Universidad de Buenos Aires Facultad de Farmacia y Bioquímica,Universidad,de Buenos Aires Facultad de Farmacia y Bioquímica,Ministerio del Interior,IGN
7664,1,POINT(-57.940767915 -34.925224417),Universidad Nacional de La Plata Facultad de Trabajo Social,Universidad Nacional,de La Plata Facultad de Trabajo Social,IDE Buenos Aires,IGN
7665,1,POINT(-57.941244834 -34.922002053),Universidad Nacional de La Plata Facultad de Bellas Artes,Universidad Nacional,de La Plata Facultad de Bellas Artes,IDE Buenos Aires,IGN
7666,1,POINT(-57.942645322 -34.908818864),Universidad Nacional de La Plata Facultad de Odontología,Universidad Nacional,de La Plata Facultad de Odontología,IDE Buenos Aires,IGN
7667,1,POINT(-57.938003583 -34.903641469),Universidad Nacional de La Plata Facultad de Informática,Universidad Nacional,de La Plata Facultad de Informática,IDE Buenos Aires,IGN
7668,1,POINT(-57.945079542 -34.907357991),Universidad Nacional de La Plata Facultad de Ingeniería,Universidad Nacional,de La Plata Facultad de Ingeniería,IDE Buenos Aires,IGN
7669,1,POINT(-57.9446167629999 -34.906843791),Universidad Nacional de La Plata Facultad de Ciencias Exactas,Universidad Nacional,de La Plata Facultad de Ciencias Exactas,IDE Buenos Aires,IGN
7670,1,POINT(-57.9506828099999 -34.912632716),Universidad Nacional de La Plata Facultad de Ciencias Económicas,Universidad Nacional,de La Plata Facultad de Ciencias Económicas,IDE Buenos Aires,IGN
7671,1,POINT(-57.9505061089999 -34.9133801959999),Universidad Nacional de La Plata Facultad de Ciencias Jurídicas y Sociales,Universidad Nacional,de La Plata Facultad de Ciencias Jurídicas y Sociales,IDE Buenos Aires,IGN
7672,1,POINT(-57.95119148 -34.912909844),Universidad Nacional de La Plata Rectorado,Universidad Nacional,de La Plata Rectorado,IDE Buenos Aires,IGN
7702,1,POINT(-65.3247012689999 -24.179225193),Universidad Nacional de Jujuy Rectorado,Universidad Nacional,de Jujuy Rectorado,IGN01,IGN
7703,1,POINT(-65.328498601 -24.178800114),Universidad Nacional de Jujuy Instituto de Geología y Minería,Universidad Nacional,de Jujuy Instituto de Geología y Minería,IGN01,IGN
7704,1,POINT(-65.2985770499999 -24.1858083619999),Universidad Nacional de Jujuy Facultad de Ingeniería,Universidad Nacional,de Jujuy Facultad de Ingeniería,IGN01,IGN
7705,1,POINT(-65.2943332999999 -24.188255851),Universidad Nacional de Jujuy Facultad de Ciencias Agrarias,Universidad Nacional,de Jujuy Facultad de Ciencias Agrarias,IGN01,IGN
7706,1,POINT(-65.301462 -24.184428),Universidad Nacional de Jujuy Facultad de Ciencias Económicas,Universidad Nacional,de Jujuy Facultad de Ciencias Económicas,IGN01,IGN
7707,1,POINT(-65.30152 -24.185784),Universidad Nacional de Jujuy Facultad de Humanidades y Ciencias Sociales,Universidad Nacional,de Jujuy Facultad de Humanidades y Ciencias Sociales,IGN01,IGN
7711,1,POINT(-58.41636292 -34.60669132),Instituto Universitario del Ejército Rectorado,Instituto Universitario,del Ejército Rectorado,IDE Buenos Aires,IGN
7712,1,POINT(-58.41069434 -34.61393407),Instituto Universitario del Ejército Unidad Académica Escuela Superior Técnica,Instituto Universitario,del Ejército Unidad Académica Escuela Superior Técnica,IDE Buenos Aires,IGN
7713,1,POINT(-58.404463 -34.6216264399999),Instituto Universitario del Ejército Unidad Académica Escuela Superior de Guerra,Instituto Universitario,del Ejército Unidad Académica Escuela Superior de Guerra,IDE Buenos Aires,IGN
7714,1,POINT(-57.90255519 -34.8887814299999),Instituto Universitario Naval Unidad Académica Escuela Naval Militar,Instituto Universitario,Naval Unidad Académica Escuela Naval Militar,IDE Buenos Aires,IGN
7715,1,POINT(-58.54184559 -34.5769840899999),Universidad Nacional de General San Martín Escuela de Economía y Negocios,Universidad Nacional,de General San Martín Escuela de Economía y Negocios,IDE Buenos Aires,IGN
7716,1,POINT(-58.5269550199999 -34.5779602499999),Universidad Nacional de General San Martín Escuela de Ciencia y Tecnología,Universidad Nacional,de General San Martín Escuela de Ciencia y Tecnología,IDE Buenos Aires,IGN
7717,1,POINT(-58.52709419 -34.57804728),Universidad Nacional de General San Martín Escuela de Humanidades Campus Migueletes,Universidad Nacional,de General San Martín Escuela de Humanidades Campus Migueletes,IDE Buenos Aires,IGN
7718,1,POINT(-58.5268220799999 -34.5780517499999),Universidad Nacional de General San Martín Escuela de Política y Gobierno,Universidad Nacional,de General San Martín Escuela de Política y Gobierno,IDE Buenos Aires,IGN
7719,1,POINT(-58.5269704899999 -34.57814665),Universidad Nacional de General San Martín Instituto de Altos Estudios Sociales,Universidad Nacional,de General San Martín Instituto de Altos Estudios Sociales,IDE Buenos Aires,IGN
7720,1,POINT(-58.5268064699999 -34.57787311),Universidad Nacional de General San Martín Instituto Tecnológico Ferroviario Scalabrini Ortiz,Universidad Nacional,de General San Martín Instituto Tecnológico Ferroviario Scalabrini Ortiz,IDE Buenos Aires,IGN
7721,1,POINT(-58.5266733999999 -34.5779723699999),Universidad Nacional de General San Martín Instituto de Estudios en Ciencias Jurídicas,Universidad Nacional,de General San Martín Instituto de Estudios en Ciencias Jurídicas,IDE Buenos Aires,IGN
7722,1,POINT(-58.51342311 -34.57579308),Universidad Nacional de General San Martín Instituto de Investigaciones Biotecnológicas,Universidad Nacional,de General San Martín Instituto de Investigaciones Biotecnológicas,IDE Buenos Aires,IGN
7723,1,POINT(-58.5136886 -34.5761908599999),Universidad Nacional de General San Martín Instituto de Tecnología Profesor Jorge Sábato,Universidad Nacional,de General San Martín Instituto de Tecnología Profesor Jorge Sábato,IDE Buenos Aires,IGN
7724,1,POINT(-58.51391953 -34.5766164),Universidad Nacional de General San Martín Instituto de la Calidad Industrial,Universidad Nacional,de General San Martín Instituto de la Calidad Industrial,IDE Buenos Aires,IGN
7725,1,POINT(-58.5643260099999 -34.57554442),Universidad Nacional de General San Martín Instituto de Investigación e Ingeniería Ambiental,Universidad Nacional,de General San Martín Instituto de Investigación e Ingeniería Ambiental,IDE Buenos Aires,IGN
7726,1,POINT(-58.5149608899999 -34.57857137),Universidad Nacional de General San Martín Instituto de Tecnología Nuclear Dan Beninson,Universidad Nacional,de General San Martín Instituto de Tecnología Nuclear Dan Beninson,IDE Buenos Aires,IGN
7727,1,POINT(-58.70276096 -34.52367099),Universidad Nacional de General Sarmiento,Universidad Nacional,de General Sarmiento,IDE Buenos Aires,IGN
7728,1,POINT(-58.74524128 -34.52065291),Universidad Nacional de José Clemente Paz,Universidad Nacional,de José Clemente Paz,IDE Buenos Aires,IGN
7729,1,POINT(-58.5621585499999 -34.6699728999999),Universidad Nacional de La Matanza,Universidad Nacional,de La Matanza,IDE Buenos Aires,IGN
7730,1,POINT(-57.92722808 -34.90843663),Universidad Nacional de La Plata Escuela Universitaria de Recursos Humanos del Equipo de Salud,Universidad Nacional,de La Plata Escuela Universitaria de Recursos Humanos del Equipo de Salud,IDE Buenos Aires,IGN
7731,1,POINT(-57.9280564699999 -34.9092418399999),Universidad Nacional de La Plata Facultad de Ciencias Médicas,Universidad Nacional,de La Plata Facultad de Ciencias Médicas,IDE Buenos Aires,IGN
7732,1,POINT(-57.9276880799999 -34.90879402),Universidad Nacional de La Plata Facultad de Ciencias Agrarias y Forestales,Universidad Nacional,de La Plata Facultad de Ciencias Agrarias y Forestales,IDE Buenos Aires,IGN
7733,1,POINT(-57.9278932299999 -34.91218258),Universidad Nacional de La Plata Facultad de Ciencias Astronómicas y Geofísicas,Universidad Nacional,de La Plata Facultad de Ciencias Astronómicas y Geofísicas,IDE Buenos Aires,IGN
7734,1,POINT(-57.9266477199999 -34.91197736),Universidad Nacional de La Plata Facultad de Periodismo y Comunicación Social,Universidad Nacional,de La Plata Facultad de Periodismo y Comunicación Social,IDE Buenos Aires,IGN
7735,1,POINT(-57.9284504299999 -34.90956131),Universidad Nacional de La Plata Facultad de Ciencias Veterinarias,Universidad Nacional,de La Plata Facultad de Ciencias Veterinarias,IDE Buenos Aires,IGN
7736,1,POINT(-57.9265438899999 -34.9081140499999),Universidad Nacional de La Plata Facultad de Ciencias Naturales y Museo,Universidad Nacional,de La Plata Facultad de Ciencias Naturales y Museo,IDE Buenos Aires,IGN
7737,1,POINT(-57.9334730799999 -34.9016306199999),Universidad Nacional de La Plata Facultad de Humanidades y Ciencias de la Educación,Universidad Nacional,de La Plata Facultad de Humanidades y Ciencias de la Educación,IDE Buenos Aires,IGN
7738,1,POINT(-57.9422474899999 -34.9049960799999),Universidad Nacional de La Plata Facultad de Arquitectura y Urbanismo,Universidad Nacional,de La Plata Facultad de Arquitectura y Urbanismo,IDE Buenos Aires,IGN
7739,1,POINT(-57.93307952 -34.9018353499999),Universidad Nacional de La Plata Facultad de Psicología,Universidad Nacional,de La Plata Facultad de Psicología,IDE Buenos Aires,IGN
7740,1,POINT(-58.38985658 -34.73433118),Universidad Nacional de Lanús Departamento de Desarrollo Productivo y Tecnológico,Universidad Nacional,de Lanús Departamento de Desarrollo Productivo y Tecnológico,IDE Buenos Aires,IGN
7741,1,POINT(-58.38989042 -34.7345343499999),Universidad Nacional de Lanús Departamento de Planificación y Políticas Públicas,Universidad Nacional,de Lanús Departamento de Planificación y Políticas Públicas,IDE Buenos Aires,IGN
7742,1,POINT(-58.38966773 -34.73432868),Universidad Nacional de Lanús Departamento de Humanidades y Artes,Universidad Nacional,de Lanús Departamento de Humanidades y Artes,IDE Buenos Aires,IGN
7743,1,POINT(-58.3897012699999 -34.73454745),Universidad Nacional de Lanús Departamento de Salud Comunitaria,Universidad Nacional,de Lanús Departamento de Salud Comunitaria,IDE Buenos Aires,IGN
7744,1,POINT(-58.3895328199999 -34.73446725),Universidad Nacional de Lanús Rectorado,Universidad Nacional,de Lanús Rectorado,IDE Buenos Aires,IGN
7745,1,POINT(-58.45064894 -34.78328393),Universidad Nacional de Lomas de Zamora Facultad de Ingeniería,Universidad Nacional,de Lomas de Zamora Facultad de Ingeniería,IDE Buenos Aires,IGN
10617,1,POINT(-57.5469123399999 -37.99796538),Universidad Nacional de Mar del Plata Rectorado,Universidad Nacional,de Mar del Plata Rectorado,IDE Buenos Aires,IGN
10637,1,POINT(-62.27189276 -38.69918096),Universidad Nacional del Sur Departamento de Ingeniería,Universidad Nacional,del Sur Departamento de Ingeniería,IDE Buenos Aires,IGN
10600,1,POINT(-58.45118989 -34.78366073),Universidad Nacional de Lomas de Zamora Facultad de Ciencias Económicas,Universidad Nacional,de Lomas de Zamora Facultad de Ciencias Económicas,IDE Buenos Aires,IGN
10601,1,POINT(-58.45019224 -34.7837302299999),Universidad Nacional de Lomas de Zamora Facultad de Derecho,Universidad Nacional,de Lomas de Zamora Facultad de Derecho,IDE Buenos Aires,IGN
10602,1,POINT(-58.45068338 -34.7841064),Universidad Nacional de Lomas de Zamora Facultad de Ciencias Sociales,Universidad Nacional,de Lomas de Zamora Facultad de Ciencias Sociales,IDE Buenos Aires,IGN
10603,1,POINT(-58.44968804 -34.78405262),Universidad Nacional de Lomas de Zamora Rectorado,Universidad Nacional,de Lomas de Zamora Rectorado,IDE Buenos Aires,IGN
10604,1,POINT(-58.4502259 -34.78459379),Universidad Nacional de Lomas de Zamora Facultad de Ciencias Agrarias,Universidad Nacional,de Lomas de Zamora Facultad de Ciencias Agrarias,IDE Buenos Aires,IGN
10605,1,POINT(-58.9455665799999 -34.17497213),Universidad Nacional de Luján Centro Regional Campana,Universidad Nacional,de Luján Centro Regional Campana,IDE Buenos Aires,IGN
10606,1,POINT(-60.00528542 -34.9265748299999),Universidad Nacional de Luján Centro Regional Chivilcoy,Universidad Nacional,de Luján Centro Regional Chivilcoy,IDE Buenos Aires,IGN
10607,1,POINT(-58.5495706099999 -34.44383586),Universidad Nacional de Luján Delegación San Fernando,Universidad Nacional,de Luján Delegación San Fernando,IDE Buenos Aires,IGN
10608,1,POINT(-58.51371777 -34.469815),Universidad Nacional de Luján Centro Regional San Miguel,Universidad Nacional,de Luján Centro Regional San Miguel,IDE Buenos Aires,IGN
10609,1,POINT(-58.22177181 -37.818258),Universidad Nacional de Mar del Plata Facultad de Ciencias Agrarias,Universidad Nacional,de Mar del Plata Facultad de Ciencias Agrarias,IDE Buenos Aires,IGN
10610,1,POINT(-57.5706679799999 -38.00477068),Universidad Nacional de Mar del Plata Facultad de Ciencias Exactas y Naturales,Universidad Nacional,de Mar del Plata Facultad de Ciencias Exactas y Naturales,IDE Buenos Aires,IGN
10611,1,POINT(-57.57089632 -38.00479554),Universidad Nacional de Mar del Plata Facultad de Ciencias Económicas y Sociales,Universidad Nacional,de Mar del Plata Facultad de Ciencias Económicas y Sociales,IDE Buenos Aires,IGN
10612,1,POINT(-57.57075371 -38.00487319),Universidad Nacional de Mar del Plata Facultad de Derecho,Universidad Nacional,de Mar del Plata Facultad de Derecho,IDE Buenos Aires,IGN
10613,1,POINT(-57.57099478 -38.0048983199999),Universidad Nacional de Mar del Plata Facultad de Humanidades,Universidad Nacional,de Mar del Plata Facultad de Humanidades,IDE Buenos Aires,IGN
10614,1,POINT(-57.57085284 -38.00495583),Universidad Nacional de Mar del Plata Facultad de Psicología,Universidad Nacional,de Mar del Plata Facultad de Psicología,IDE Buenos Aires,IGN
10615,1,POINT(-57.57108052 -38.00500083),Universidad Nacional de Mar del Plata Facultad de Ciencias de la Salud y Trabajo Social,Universidad Nacional,de Mar del Plata Facultad de Ciencias de la Salud y Trabajo Social,IDE Buenos Aires,IGN
10616,1,POINT(-57.58063972 -38.01149086),Universidad Nacional de Mar del Plata Facultad de Ingeniería,Universidad Nacional,de Mar del Plata Facultad de Ingeniería,IDE Buenos Aires,IGN
10618,1,POINT(-57.5709512999999 -38.0050586),"Universidad Nacional de Mar del Plata Facultad de Arquitectura, Diseño y Urbanismo",Universidad Nacional,"de Mar del Plata Facultad de Arquitectura, Diseño y Urbanismo",IDE Buenos Aires,IGN
10619,1,POINT(-58.27062266 -34.71845739),Universidad Nacional de Quilmes Departamento de Ciencia y Tecnología,Universidad Nacional,de Quilmes Departamento de Ciencia y Tecnología,IDE Buenos Aires,IGN
10620,1,POINT(-58.2705973399999 -34.7184900899999),Universidad Nacional de Quilmes Departamento de Ciencias Sociales,Universidad Nacional,de Quilmes Departamento de Ciencias Sociales,IDE Buenos Aires,IGN
10621,1,POINT(-58.27052615 -34.7185068799999),Universidad Nacional de Quilmes Rectorado,Universidad Nacional,de Quilmes Rectorado,IDE Buenos Aires,IGN
10622,1,POINT(-58.27057695 -34.7184338599999),Universidad Nacional de Quilmes Departamento de Economía y Administración,Universidad Nacional,de Quilmes Departamento de Economía y Administración,IDE Buenos Aires,IGN
10623,1,POINT(-58.5279367099999 -34.6014931999999),Universidad Nacional de Tres de Febrero,Universidad Nacional,de Tres de Febrero,IDE Buenos Aires,IGN
10624,1,POINT(-60.3042619399999 -36.8875626999999),Universidad Nacional del Centro de la Provincia de Buenos Aires Escuela Superior de Ciencias de la Salud,Universidad Nacional,del Centro de la Provincia de Buenos Aires Escuela Superior de Ciencias de l*,IDE Buenos Aires,IGN
10625,1,POINT(-60.30381554 -36.9168370699999),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ingeniería,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ingeniería,IDE Buenos Aires,IGN
10626,1,POINT(-60.30360788 -36.91696296),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Sociales,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ciencias Sociales,IDE Buenos Aires,IGN
10627,1,POINT(-59.09854197 -37.33369608),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Veterinarias,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ciencias Veterinarias,IDE Buenos Aires,IGN
10628,1,POINT(-59.0987527 -37.33381836),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Exactas,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ciencias Exactas,IDE Buenos Aires,IGN
10629,1,POINT(-59.09891644 -37.3339516299999),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Económicas,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ciencias Económicas,IDE Buenos Aires,IGN
10630,1,POINT(-59.0986543 -37.33398263),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Humanas,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Ciencias Humanas,IDE Buenos Aires,IGN
10631,1,POINT(-59.13853634 -37.32859608),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Arte,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Arte,IDE Buenos Aires,IGN
10632,1,POINT(-59.1386046499999 -37.32862949),Universidad Nacional del Centro de la Provincia de Buenos Aires Rectorado,Universidad Nacional,del Centro de la Provincia de Buenos Aires Rectorado,IDE Buenos Aires,IGN
10633,1,POINT(-59.11750254 -37.3202852699999),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Derecho,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Derecho,IDE Buenos Aires,IGN
10634,1,POINT(-59.1242313399999 -37.2997968299999),"Universidad Nacional del Centro de la Provincia de Buenos Aires Centro de Capacitación, Cultura y Deportes Sede Villa Aguirre",Universidad Nacional,"del Centro de la Provincia de Buenos Aires Centro de Capacitación, Cultura y*",IDE Buenos Aires,IGN
